artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,artist_song
Scatman John,Scatman (ski-ba-bop-ba-dop-bop),215973,False,1995,0,0.65,0.82,5,-10.9,0,0.0356,0.0655,0.00274,0.215,0.757,135.982,techno,"Scatman John, Scatman (ski-ba-bop-ba-dop-bop)"
Kings of Leon,Sex on Fire,204587,False,2008,0,0.544,0.903,9,-5.651,1,0.0545,0.00166,0.00632,0.1,0.432,153.629,rock,"Kings of Leon, Sex on Fire"
Kings of Leon,Sex on Fire,203347,False,2008,80,0.542,0.905,9,-5.653,1,0.054,0.00172,0.0104,0.136,0.374,153.398,rock,"Kings of Leon, Sex on Fire"
Marvin Gaye,Sexual Healing,239800,False,2009,49,0.799,0.602,0,-9.714,0,0.061,0.117,0.000267,0.0658,0.717,94.333,soul funk,"Marvin Gaye, Sexual Healing"
Marvin Gaye,Sexual Healing,239360,False,2003,12,0.802,0.554,5,-11.313,0,0.0599,0.112,0.000163,0.0504,0.729,94.388,soul funk,"Marvin Gaye, Sexual Healing"
David Guetta,She Wolf (Falling to Pieces) [feat. Sia],210577,False,2012,0,0.51,0.859,7,-2.479,1,0.0679,0.0639,1.56e-05,0.445,0.415,129.968,pop edm,"David Guetta, She Wolf (Falling to Pieces) [feat. Sia]"
David Guetta,She Wolf (Falling to Pieces) [feat. Sia],222500,False,2011,51,0.491,0.857,7,-2.634,1,0.0656,0.0834,7.57e-06,0.344,0.395,129.971,pop edm,"David Guetta, She Wolf (Falling to Pieces) [feat. Sia]"
Earth  Wind & Fire,Shining Star,170107,False,1998,0,0.678,0.787,9,-9.045,1,0.0582,0.453,0.00271,0.199,0.808,102.513,soul funk disco,"Earth  Wind & Fire, Shining Star"
Earth  Wind & Fire,Shining Star,170160,False,1975,62,0.676,0.692,9,-13.093,1,0.052,0.668,0.00915,0.13,0.799,102.516,soul funk disco,"Earth  Wind & Fire, Shining Star"
Lynyrd Skynyrd,Simple Man,356960,False,1998,0,0.433,0.756,6,-8.763,1,0.0443,0.00296,0.00166,0.268,0.415,120.574,rock,"Lynyrd Skynyrd, Simple Man"
Lynyrd Skynyrd,Simple Man,356627,False,1973,72,0.422,0.752,6,-8.682,1,0.0449,0.0366,0.000119,0.129,0.403,120.471,rock,"Lynyrd Skynyrd, Simple Man"
MJ Cole,Sincere - Nero Remix,356173,False,2010,28,0.613,0.72,5,-7.57,0,0.0521,0.00198,0.274,0.103,0.18,139.966,dubstep,"MJ Cole, Sincere - Nero Remix"
MJ Cole,Sincere - Nero Remix,356173,False,2010,28,0.613,0.72,5,-7.57,0,0.0521,0.00198,0.274,0.103,0.18,139.966,garage,"MJ Cole, Sincere - Nero Remix"
Paul Kalkbrenner,Sky and Sand,230500,False,2013,0,0.791,0.329,10,-12.906,0,0.0592,0.6,0.863,0.193,0.526,127.021,electronic,"Paul Kalkbrenner, Sky and Sand"
Paul Kalkbrenner,Sky and Sand,230500,False,2013,0,0.791,0.329,10,-12.906,0,0.0592,0.6,0.863,0.193,0.526,127.021,techno,"Paul Kalkbrenner, Sky and Sand"
fun.,Some Nights,277040,True,2012,70,0.672,0.738,0,-7.045,1,0.0506,0.0178,6.75e-05,0.0927,0.392,107.938,folk,"fun., Some Nights"
fun.,Some Nights,277040,True,2012,70,0.672,0.738,0,-7.045,1,0.0506,0.0178,6.75e-05,0.0927,0.392,107.938,indie-pop,"fun., Some Nights"
fun.,Some Nights,277040,True,2012,70,0.672,0.738,0,-7.045,1,0.0506,0.0178,6.75e-05,0.0927,0.392,107.938,synth-pop,"fun., Some Nights"
Adele,Someone Like You,285240,False,2011,3,0.554,0.321,9,-8.251,1,0.028,0.893,0.0,0.0996,0.288,135.047,pop,"Adele, Someone Like You"
Adele,Someone Like You,285040,False,2011,1,0.559,0.33,9,-8.251,1,0.0285,0.892,0.0,0.0975,0.285,135.109,pop,"Adele, Someone Like You"
Miguel Campbell,Something Special,285841,False,2012,34,0.961,0.266,0,-13.371,0,0.23,0.00234,0.00276,0.0928,0.354,123.012,deep-house,"Miguel Campbell, Something Special"
Miguel Campbell,Something Special,285841,False,2012,34,0.961,0.266,0,-13.371,0,0.23,0.00234,0.00276,0.0928,0.354,123.012,house,"Miguel Campbell, Something Special"
Keane,Somewhere Only We Know,236360,False,2004,0,0.457,0.646,9,-5.24,1,0.0257,0.0637,1.5e-06,0.0854,0.389,172.257,alternative,"Keane, Somewhere Only We Know"
Keane,Somewhere Only We Know,237547,False,2009,0,0.445,0.59,9,-6.747,1,0.0258,0.0575,1.08e-05,0.0832,0.334,172.016,indie-pop,"Keane, Somewhere Only We Know"
Fountains Of Wayne,Stacy's Mom,197987,False,2003,74,0.774,0.75,11,-4.927,0,0.0412,0.00207,1.78e-05,0.0808,0.927,118.015,punk,"Fountains Of Wayne, Stacy's Mom"
Fountains Of Wayne,Stacy's Mom,197987,False,2003,74,0.774,0.75,11,-4.927,0,0.0412,0.00207,1.78e-05,0.0808,0.927,118.015,punk-rock,"Fountains Of Wayne, Stacy's Mom"
Vampire Weekend,Step,251627,False,2013,0,0.624,0.724,10,-7.113,1,0.101,0.591,7.79e-06,0.101,0.624,78.008,indie-pop,"Vampire Weekend, Step"
Vampire Weekend,Step,251627,False,2013,0,0.624,0.724,10,-7.113,1,0.101,0.591,7.79e-06,0.101,0.624,78.008,synth-pop,"Vampire Weekend, Step"
Trivium,Strife,269266,False,2013,37,0.461,0.987,1,-1.711,0,0.108,3.58e-05,8.48e-05,0.359,0.309,142.031,metal metalcore,"Trivium, Strife"
Trivium,Strife,269266,False,2013,56,0.461,0.987,1,-1.711,0,0.108,3.58e-05,8.48e-05,0.359,0.309,142.031,metal metalcore,"Trivium, Strife"
Lana Del Rey,Summertime Sadness,265427,False,2012,64,0.565,0.654,1,-6.826,0,0.0335,0.0542,1.8e-06,0.122,0.235,111.968,pop,"Lana Del Rey, Summertime Sadness"
Lana Del Rey,Summertime Sadness,264773,False,2012,51,0.564,0.649,1,-6.811,0,0.0333,0.051,0.0,0.121,0.201,111.949,pop,"Lana Del Rey, Summertime Sadness"
Stevie Wonder,Superstition,244827,False,2007,0,0.648,0.751,8,-8.582,1,0.0806,0.0182,0.000401,0.0418,0.863,100.437,soul funk,"Stevie Wonder, Superstition"
Stevie Wonder,Superstition,266000,False,1982,0,0.609,0.775,1,-9.251,1,0.0976,0.0967,0.11,0.0861,0.855,100.62,soul funk,"Stevie Wonder, Superstition"
The Temper Trap,Sweet Disposition,234680,False,2009,0,0.54,0.804,2,-7.112,1,0.0425,0.078,0.171,0.115,0.347,129.088,alternative,"The Temper Trap, Sweet Disposition"
The Temper Trap,Sweet Disposition,230800,False,2009,63,0.531,0.821,2,-6.812,1,0.0439,0.0701,0.171,0.124,0.34,129.139,indie-pop,"The Temper Trap, Sweet Disposition"
The Temper Trap,Sweet Disposition,234680,False,2009,0,0.54,0.804,2,-7.112,1,0.0425,0.078,0.171,0.115,0.347,129.088,synth-pop,"The Temper Trap, Sweet Disposition"
Lynyrd Skynyrd,Sweet Home Alabama,283733,False,1998,0,0.612,0.628,7,-10.385,1,0.0257,0.247,0.000194,0.0907,0.927,97.903,rock,"Lynyrd Skynyrd, Sweet Home Alabama"
Lynyrd Skynyrd,Sweet Home Alabama,287173,False,1993,0,0.598,0.606,0,-11.812,1,0.0256,0.162,0.000357,0.353,0.91,97.736,rock,"Lynyrd Skynyrd, Sweet Home Alabama"
Franz Ferdinand,Take Me Out,237027,False,2004,0,0.279,0.664,9,-8.851,1,0.0371,0.000389,0.000655,0.133,0.49,104.56,rock,"Franz Ferdinand, Take Me Out"
Franz Ferdinand,Take Me Out,237027,False,2004,3,0.278,0.676,9,-8.821,1,0.0371,0.000423,0.000899,0.136,0.494,104.545,rock,"Franz Ferdinand, Take Me Out"
Passion Pit,Take a Walk,264800,False,2013,11,0.572,0.76,11,-5.731,1,0.0357,0.0261,0.0,0.314,0.45,100.993,indie-pop,"Passion Pit, Take a Walk"
Passion Pit,Take a Walk,264493,False,2012,68,0.566,0.755,11,-5.526,1,0.0368,0.0338,0.0,0.315,0.445,101.006,synth-pop,"Passion Pit, Take a Walk"
Daft Punk,Technologic,284280,False,2005,55,0.812,0.516,9,-6.963,1,0.224,0.000369,1.09e-05,0.0991,0.633,127.498,electronic,"Daft Punk, Technologic"
Daft Punk,Technologic,284280,False,2005,55,0.812,0.516,9,-6.963,1,0.224,0.000369,1.09e-05,0.0991,0.633,127.498,house,"Daft Punk, Technologic"
Daft Punk,Technologic,284280,False,2005,55,0.812,0.516,9,-6.963,1,0.224,0.000369,1.09e-05,0.0991,0.633,127.498,techno,"Daft Punk, Technologic"
Sly & The Family Stone,Thank You (Falettinme Be Mice Elf Agin) - Single Version,291320,False,1970,57,0.9,0.709,9,-12.683,1,0.0636,0.296,0.00047,0.0863,0.897,105.822,soul funk disco,"Sly & The Family Stone, Thank You (Falettinme Be Mice Elf Agin) - Single Version"
Sly & The Family Stone,Thank You (Falettinme Be Mice Elf Agin) - Single Version,287827,False,2002,44,0.899,0.77,9,-11.011,1,0.0602,0.368,0.000312,0.101,0.932,105.739,soul funk disco,"Sly & The Family Stone, Thank You (Falettinme Be Mice Elf Agin) - Single Version"
Paramore,That's What You Get,220480,False,2007,66,0.528,0.831,8,-3.607,1,0.0429,9.43e-05,0.0,0.141,0.632,131.094,emo,"Paramore, That's What You Get"
Paramore,That's What You Get,220480,False,2007,66,0.528,0.831,8,-3.607,1,0.0429,9.43e-05,0.0,0.141,0.632,131.094,punk-rock,"Paramore, That's What You Get"
Mumford & Sons,The Cave,215627,False,2009,0,0.592,0.499,4,-9.463,1,0.0374,0.0536,4.4e-05,0.113,0.345,141.938,bluegrass,"Mumford & Sons, The Cave"
Mumford & Sons,The Cave,215627,False,2009,0,0.592,0.499,4,-9.463,1,0.0374,0.0536,4.4e-05,0.113,0.345,141.938,folk,"Mumford & Sons, The Cave"
Kraftwerk,The Model - 2004 Remaster,222360,False,2008,0,0.713,0.691,4,-7.189,0,0.0325,0.00748,0.681,0.106,0.713,123.774,electronic,"Kraftwerk, The Model - 2004 Remaster"
Kraftwerk,The Model - 2004 Remaster,222360,False,2008,0,0.713,0.691,4,-7.189,0,0.0325,0.00748,0.681,0.106,0.713,123.774,industrial,"Kraftwerk, The Model - 2004 Remaster"
CHVRCHES,The Mother We Share,190160,True,2013,0,0.452,0.716,1,-5.141,1,0.0313,0.0347,7.85e-06,0.294,0.317,174.037,electronic,"CHVRCHES, The Mother We Share"
CHVRCHES,The Mother We Share,190160,True,2013,0,0.452,0.716,1,-5.141,1,0.0313,0.0347,7.85e-06,0.294,0.317,174.037,synth-pop,"CHVRCHES, The Mother We Share"
Amaranthe,The Nexus,197185,False,2013,0,0.506,0.961,6,-5.054,1,0.135,0.00012,0.0,0.083,0.587,105.007,hard-rock,"Amaranthe, The Nexus"
Amaranthe,The Nexus,197185,False,2013,0,0.506,0.961,6,-5.054,1,0.135,0.00012,0.0,0.083,0.587,105.007,metal,"Amaranthe, The Nexus"
Iggy Pop,The Passenger,280827,False,2005,46,0.481,0.922,0,-3.439,1,0.0534,0.0282,6.93e-06,0.536,0.709,134.785,rock punk,"Iggy Pop, The Passenger"
Iggy Pop,The Passenger,284067,False,1977,45,0.5,0.846,0,-8.098,1,0.0457,0.0797,0.0,0.241,0.738,134.937,rock punk,"Iggy Pop, The Passenger"
Boys Like Girls,Thunder,236680,False,2007,54,0.508,0.821,2,-5.279,1,0.0395,0.223,0.0,0.316,0.463,75.057,emo,"Boys Like Girls, Thunder"
Boys Like Girls,Thunder,236680,False,2007,54,0.508,0.821,2,-5.279,1,0.0395,0.223,0.0,0.316,0.463,75.057,punk-rock,"Boys Like Girls, Thunder"
MGMT,Time to Pretend,261000,True,2014,8,0.438,0.94,2,-3.249,1,0.0452,8.74e-05,0.0777,0.3,0.421,100.99,rock,"MGMT, Time to Pretend"
